uid expr treatment rep update lineage
final_comps_comp50_51 final_comps comp50 51 23000 1
final_comps_comp50_51 final_comps comp50 51 23100 1
final_comps_comp50_51 final_comps comp50 51 23200 1
final_comps_comp50_51 final_comps comp50 51 23300 1
final_comps_comp50_51 final_comps comp50 51 23400 1
final_comps_comp50_51 final_comps comp50 51 23500 1
final_comps_comp50_51 final_comps comp50 51 23600 1
final_comps_comp50_51 final_comps comp50 51 23700 1
final_comps_comp50_51 final_comps comp50 51 23800 1
final_comps_comp50_51 final_comps comp50 51 23900 1
final_comps_comp50_51 final_comps comp50 51 24000 1
final_comps_comp50_51 final_comps comp50 51 24100 1
final_comps_comp50_51 final_comps comp50 51 24200 1
final_comps_comp50_51 final_comps comp50 51 24300 1
final_comps_comp50_51 final_comps comp50 51 24400 1
final_comps_comp50_51 final_comps comp50 51 24500 1
final_comps_comp50_51 final_comps comp50 51 24600 1
final_comps_comp50_51 final_comps comp50 51 24700 1
final_comps_comp50_51 final_comps comp50 51 24800 1
final_comps_comp50_51 final_comps comp50 51 24900 1
final_comps_comp50_51 final_comps comp50 51 25000 1
final_comps_comp50_51 final_comps comp50 51 25100 1
final_comps_comp50_51 final_comps comp50 51 25200 1
final_comps_comp50_51 final_comps comp50 51 25300 1
final_comps_comp50_51 final_comps comp50 51 25400 1
final_comps_comp50_51 final_comps comp50 51 25500 1
final_comps_comp50_51 final_comps comp50 51 25600 1
final_comps_comp50_51 final_comps comp50 51 25700 1
final_comps_comp50_51 final_comps comp50 51 25800 1
final_comps_comp50_51 final_comps comp50 51 25900 1
final_comps_comp50_51 final_comps comp50 51 26000 1
final_comps_comp50_51 final_comps comp50 51 26100 1
final_comps_comp50_51 final_comps comp50 51 26200 1
final_comps_comp50_51 final_comps comp50 51 26300 1
final_comps_comp50_51 final_comps comp50 51 26400 1
final_comps_comp50_51 final_comps comp50 51 26500 1
final_comps_comp50_51 final_comps comp50 51 26600 1
final_comps_comp50_51 final_comps comp50 51 26700 1
final_comps_comp50_51 final_comps comp50 51 26800 1
final_comps_comp50_51 final_comps comp50 51 26900 1
final_comps_comp50_51 final_comps comp50 51 27000 1
final_comps_comp50_51 final_comps comp50 51 27100 1
final_comps_comp50_51 final_comps comp50 51 27200 1
final_comps_comp50_51 final_comps comp50 51 27300 1
final_comps_comp50_51 final_comps comp50 51 27400 1
final_comps_comp50_51 final_comps comp50 51 27500 1
final_comps_comp50_51 final_comps comp50 51 27600 1
final_comps_comp50_51 final_comps comp50 51 27700 1
final_comps_comp50_51 final_comps comp50 51 27800 1
final_comps_comp50_51 final_comps comp50 51 27900 1
final_comps_comp50_51 final_comps comp50 51 28000 1
final_comps_comp50_51 final_comps comp50 51 28100 1
final_comps_comp50_51 final_comps comp50 51 28200 1
final_comps_comp50_51 final_comps comp50 51 28300 1
final_comps_comp50_51 final_comps comp50 51 28400 1
final_comps_comp50_51 final_comps comp50 51 28500 1
final_comps_comp50_51 final_comps comp50 51 28600 1
final_comps_comp50_51 final_comps comp50 51 28700 1
final_comps_comp50_51 final_comps comp50 51 28800 1
final_comps_comp50_51 final_comps comp50 51 28900 1
final_comps_comp50_51 final_comps comp50 51 29000 1
final_comps_comp50_51 final_comps comp50 51 29100 1
final_comps_comp50_51 final_comps comp50 51 29200 1
final_comps_comp50_51 final_comps comp50 51 29300 1
final_comps_comp50_51 final_comps comp50 51 29400 1
final_comps_comp50_51 final_comps comp50 51 29500 1
final_comps_comp50_51 final_comps comp50 51 29600 1
final_comps_comp50_51 final_comps comp50 51 29700 1
final_comps_comp50_51 final_comps comp50 51 29800 1
final_comps_comp50_51 final_comps comp50 51 29900 1
final_comps_comp50_51 final_comps comp50 51 30000 1
final_comps_comp50_52 final_comps comp50 52 0 0.512244
final_comps_comp50_52 final_comps comp50 52 100 0.522998
final_comps_comp50_52 final_comps comp50 52 200 0.522741
final_comps_comp50_52 final_comps comp50 52 300 0.518854
final_comps_comp50_52 final_comps comp50 52 400 0.516016
final_comps_comp50_52 final_comps comp50 52 500 0.512324
final_comps_comp50_52 final_comps comp50 52 600 0.50207
final_comps_comp50_52 final_comps comp50 52 700 0.500725
final_comps_comp50_52 final_comps comp50 52 800 0.492384
final_comps_comp50_52 final_comps comp50 52 900 0.493384
final_comps_comp50_52 final_comps comp50 52 1000 0.494854
final_comps_comp50_52 final_comps comp50 52 1100 0.504843
final_comps_comp50_52 final_comps comp50 52 1200 0.511085
final_comps_comp50_52 final_comps comp50 52 1300 0.516711
final_comps_comp50_52 final_comps comp50 52 1400 0.529292
final_comps_comp50_52 final_comps comp50 52 1500 0.525384
final_comps_comp50_52 final_comps comp50 52 1600 0.532422
final_comps_comp50_52 final_comps comp50 52 1700 0.529225
final_comps_comp50_52 final_comps comp50 52 1800 0.529687
final_comps_comp50_52 final_comps comp50 52 1900 0.512016
final_comps_comp50_52 final_comps comp50 52 2000 0.514555
final_comps_comp50_52 final_comps comp50 52 2100 0.495688
final_comps_comp50_52 final_comps comp50 52 2200 0.498537
final_comps_comp50_52 final_comps comp50 52 2300 0.499703
final_comps_comp50_52 final_comps comp50 52 2400 0.494155
final_comps_comp50_52 final_comps comp50 52 2500 0.486027
final_comps_comp50_52 final_comps comp50 52 2600 0.469801
final_comps_comp50_52 final_comps comp50 52 2700 0.480595
