uid expr treatment rep update popsize
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12300 3442
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12400 3384
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12500 3442
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12600 3385
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12700 3434
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12800 3447
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12900 3457
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13000 3398
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13100 3434
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13200 3445
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13300 3454
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13400 3465
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13500 3438
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13600 3402
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13700 3385
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13800 3371
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 13900 3413
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14000 3451
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14100 3414
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14200 3410
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14300 3412
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14400 3471
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14500 3442
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14600 3479
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14700 3407
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14800 3438
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 14900 3433
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15000 3480
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15100 3462
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15200 3447
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15300 3403
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15400 3414
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15500 3352
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15600 3433
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15700 3432
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15800 3392
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 15900 3472
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16000 3423
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 16100 3432
