uid expr treatment rep update pop_size
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 17300 3445
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 17400 3423
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 17500 3414
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 17600 3406
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 17700 3508
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 17800 3389
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 17900 3424
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18000 3440
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18100 3453
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18200 3396
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18300 3439
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18400 3467
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18500 3459
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18600 3453
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18700 3386
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18800 3460
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 18900 3402
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19000 3431
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19100 3450
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19200 3499
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19300 3414
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19400 3427
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19500 3408
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19600 3440
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19700 3484
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19800 3449
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 19900 3399
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20000 3296
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20100 3466
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20200 3406
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20300 3429
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20400 3398
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20500 3459
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20600 3424
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20700 3463
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20800 3500
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 20900 3466
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21000 3384
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21100 3395
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21200 3353
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21300 3472
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21400 3377
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21500 3430
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21600 3422
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21700 3382
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21800 3419
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 21900 3443
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22000 3480
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22100 3409
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22200 3479
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22300 3420
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22400 3359
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22500 3439
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22600 3466
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22700 3435
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22800 3478
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 22900 3415
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23000 3459
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23100 3395
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23200 3482
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23300 3437
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23400 3486
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23500 3431
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23600 3452
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23700 3430
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23800 3382
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 23900 3389
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24000 3423
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24100 3369
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24200 3454
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24300 3380
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24400 3399
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24500 3428
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24600 3410
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24700 3419
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24800 3464
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 24900 3448
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25000 3299
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25100 3422
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25200 3394
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25300 3459
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25400 3412
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25500 3424
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25600 3453
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25700 3451
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25800 3455
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 25900 3498
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26000 3454
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26100 3428
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26200 3445
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26300 3452
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26400 3465
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26500 3362
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26600 3410
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26700 3434
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26800 3428
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 26900 3395
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27000 3370
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27100 3469
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27200 3473
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 27300 3417
