uid expr treatment rep update popsize
reg_test_noqs_reg_51 reg_test noqs_reg 51 12900 3331
reg_test_noqs_reg_51 reg_test noqs_reg 51 13000 3342
reg_test_noqs_reg_51 reg_test noqs_reg 51 13100 3396
reg_test_noqs_reg_51 reg_test noqs_reg 51 13200 3329
reg_test_noqs_reg_51 reg_test noqs_reg 51 13300 3396
reg_test_noqs_reg_51 reg_test noqs_reg 51 13400 3350
reg_test_noqs_reg_51 reg_test noqs_reg 51 13500 3345
reg_test_noqs_reg_51 reg_test noqs_reg 51 13600 3361
reg_test_noqs_reg_51 reg_test noqs_reg 51 13700 3343
reg_test_noqs_reg_51 reg_test noqs_reg 51 13800 3370
reg_test_noqs_reg_51 reg_test noqs_reg 51 13900 3395
reg_test_noqs_reg_51 reg_test noqs_reg 51 14000 3365
reg_test_noqs_reg_51 reg_test noqs_reg 51 14100 3382
reg_test_noqs_reg_51 reg_test noqs_reg 51 14200 3412
reg_test_noqs_reg_51 reg_test noqs_reg 51 14300 3314
reg_test_noqs_reg_51 reg_test noqs_reg 51 14400 3361
reg_test_noqs_reg_51 reg_test noqs_reg 51 14500 3374
reg_test_noqs_reg_51 reg_test noqs_reg 51 14600 3400
reg_test_noqs_reg_51 reg_test noqs_reg 51 14700 3433
reg_test_noqs_reg_51 reg_test noqs_reg 51 14800 3382
reg_test_noqs_reg_51 reg_test noqs_reg 51 14900 3417
reg_test_noqs_reg_51 reg_test noqs_reg 51 15000 3396
reg_test_noqs_reg_51 reg_test noqs_reg 51 15100 3415
reg_test_noqs_reg_51 reg_test noqs_reg 51 15200 3376
reg_test_noqs_reg_51 reg_test noqs_reg 51 15300 3385
reg_test_noqs_reg_51 reg_test noqs_reg 51 15400 3301
reg_test_noqs_reg_51 reg_test noqs_reg 51 15500 3393
reg_test_noqs_reg_51 reg_test noqs_reg 51 15600 3327
reg_test_noqs_reg_51 reg_test noqs_reg 51 15700 3314
reg_test_noqs_reg_51 reg_test noqs_reg 51 15800 3313
reg_test_noqs_reg_51 reg_test noqs_reg 51 15900 3431
reg_test_noqs_reg_51 reg_test noqs_reg 51 16000 3379
reg_test_noqs_reg_51 reg_test noqs_reg 51 16100 3387
reg_test_noqs_reg_51 reg_test noqs_reg 51 16200 3405
reg_test_noqs_reg_51 reg_test noqs_reg 51 16300 3337
reg_test_noqs_reg_51 reg_test noqs_reg 51 16400 3319
reg_test_noqs_reg_51 reg_test noqs_reg 51 16500 3358
reg_test_noqs_reg_51 reg_test noqs_reg 51 16600 3339
reg_test_noqs_reg_51 reg_test noqs_reg 51 16700 3335
reg_test_noqs_reg_51 reg_test noqs_reg 51 16800 3326
reg_test_noqs_reg_51 reg_test noqs_reg 51 16900 3360
reg_test_noqs_reg_51 reg_test noqs_reg 51 17000 3321
reg_test_noqs_reg_51 reg_test noqs_reg 51 17100 3371
reg_test_noqs_reg_51 reg_test noqs_reg 51 17200 3324
reg_test_noqs_reg_51 reg_test noqs_reg 51 17300 3339
reg_test_noqs_reg_51 reg_test noqs_reg 51 17400 3350
reg_test_noqs_reg_51 reg_test noqs_reg 51 17500 3295
reg_test_noqs_reg_51 reg_test noqs_reg 51 17600 3332
reg_test_noqs_reg_51 reg_test noqs_reg 51 17700 3292
reg_test_noqs_reg_51 reg_test noqs_reg 51 17800 3327
reg_test_noqs_reg_51 reg_test noqs_reg 51 17900 3354
reg_test_noqs_reg_51 reg_test noqs_reg 51 18000 3226
reg_test_noqs_reg_51 reg_test noqs_reg 51 18100 3338
reg_test_noqs_reg_51 reg_test noqs_reg 51 18200 3370
reg_test_noqs_reg_51 reg_test noqs_reg 51 18300 3359
reg_test_noqs_reg_51 reg_test noqs_reg 51 18400 3315
reg_test_noqs_reg_51 reg_test noqs_reg 51 18500 3295
reg_test_noqs_reg_51 reg_test noqs_reg 51 18600 3311
reg_test_noqs_reg_51 reg_test noqs_reg 51 18700 3306
reg_test_noqs_reg_51 reg_test noqs_reg 51 18800 3379
reg_test_noqs_reg_51 reg_test noqs_reg 51 18900 3325
reg_test_noqs_reg_51 reg_test noqs_reg 51 19000 3347
reg_test_noqs_reg_51 reg_test noqs_reg 51 19100 3391
reg_test_noqs_reg_51 reg_test noqs_reg 51 19200 3370
reg_test_noqs_reg_51 reg_test noqs_reg 51 19300 3373
reg_test_noqs_reg_51 reg_test noqs_reg 51 19400 3396
reg_test_noqs_reg_51 reg_test noqs_reg 51 19500 3393
reg_test_noqs_reg_51 reg_test noqs_reg 51 19600 3397
reg_test_noqs_reg_51 reg_test noqs_reg 51 19700 3333
reg_test_noqs_reg_51 reg_test noqs_reg 51 19800 3387
reg_test_noqs_reg_51 reg_test noqs_reg 51 19900 3387
reg_test_noqs_reg_51 reg_test noqs_reg 51 20000 3365
reg_test_noqs_reg_51 reg_test noqs_reg 51 20100 3414
reg_test_noqs_reg_51 reg_test noqs_reg 51 20200 3366
reg_test_noqs_reg_51 reg_test noqs_reg 51 20300 3436
reg_test_noqs_reg_51 reg_test noqs_reg 51 20400 3364
reg_test_noqs_reg_51 reg_test noqs_reg 51 20500 3376
reg_test_noqs_reg_51 reg_test noqs_reg 51 20600 3376
reg_test_noqs_reg_51 reg_test noqs_reg 51 20700 3345
reg_test_noqs_reg_51 reg_test noqs_reg 51 20800 3330
reg_test_noqs_reg_51 reg_test noqs_reg 51 20900 3316
reg_test_noqs_reg_51 reg_test noqs_reg 51 21000 3321
reg_test_noqs_reg_51 reg_test noqs_reg 51 21100 3354
reg_test_noqs_reg_51 reg_test noqs_reg 51 21200 3375
reg_test_noqs_reg_51 reg_test noqs_reg 51 21300 3371
reg_test_noqs_reg_51 reg_test noqs_reg 51 21400 3386
reg_test_noqs_reg_51 reg_test noqs_reg 51 21500 3387
reg_test_noqs_reg_51 reg_test noqs_reg 51 21600 3379
reg_test_noqs_reg_51 reg_test noqs_reg 51 21700 3347
reg_test_noqs_reg_51 reg_test noqs_reg 51 21800 3339
