uid expr treatment rep update threshold
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11200 90.3974
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11300 89.8643
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11400 90.0257
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11500 90.4269
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11600 90.4545
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11700 88.637
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11800 87.9551
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11900 89.5877
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12000 88.697
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12100 89.656
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12200 90.2467
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12300 87.2482
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12400 89.3858
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12500 88.2227
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12600 89.5896
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12700 85.6114
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12800 78.3365
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 12900 85.0161
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13000 83.3738
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13100 86.7135
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13200 87.7742
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13300 85.1118
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13400 85.9837
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13500 82.749
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13600 85.8454
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13700 87.1736
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13800 87.171
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 13900 86.5194
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14000 86.5666
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14100 85.9708
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14200 88.0478
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14300 88.9567
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14400 87.8721
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14500 91.0575
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14600 89.0943
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14700 90.3612
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14800 91.4293
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 14900 86.5475
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15000 89.5439
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15100 89.2859
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15200 90.8833
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15300 91.0679
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15400 91.5169
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15500 90.8037
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15600 90.1175
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15700 89.9764
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15800 89.3412
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 15900 90.1445
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16000 89.6576
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16100 88.8984
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16200 89.7396
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16300 88.7467
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16400 90.0234
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16500 88.7929
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16600 88.6041
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16700 90.1425
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16800 88.2734
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 16900 86.6584
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17000 88.7076
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17100 88.7583
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17200 90.0841
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17300 88.2623
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17400 88.5662
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17500 89.163
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17600 87.5652
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17700 87.4909
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17800 88.9494
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 17900 89.6148
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18000 89.6419
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18100 87.8297
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18200 87.2714
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18300 89.8747
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18400 90.4047
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18500 87.8738
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18600 87.1294
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18700 88.949
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18800 87.7876
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 18900 87.1693
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19000 86.7878
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19100 85.6016
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19200 88.5822
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19300 88.6263
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19400 88.4556
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19500 87.8811
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19600 86.8448
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19700 85.6462
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19800 87.133
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 19900 88.1239
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20000 86.9418
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20100 87.0535
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20200 86.7561
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20300 87.7912
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20400 87.9983
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20500 86.0597
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20600 87.4082
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20700 86.7332
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20800 85.6286
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 20900 85.5369
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21000 80.8912
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21100 83.7264
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21200 85.0105
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21300 86.8295
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21400 86.7487
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21500 86.7288
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21600 86.7549
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21700 86.9431
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21800 85.6539
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 21900 84.4307
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22000 83.8915
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22100 84.6651
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22200 81.2837
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22300 82.2418
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22400 85.4937
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22500 86.736
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22600 85.8505
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22700 86.6559
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22800 87.1853
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 22900 84.4412
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23000 86.1888
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23100 86.5952
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23200 86.3455
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23300 87.7178
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23400 87.3166
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23500 87.5858
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23600 87.1538
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23700 88.3508
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23800 88.3352
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 23900 88.3804
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 24000 86.4827
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 24100 85.9369
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 24200 86.5747
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 24300 87.1957
