uid expr treatment rep update lineage_perc
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11600 0.995937
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11700 0.996821
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11800 0.99566
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11900 0.998823
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 12900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 13900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 14900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 15900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16700 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16800 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 16900 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17000 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17100 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17200 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17300 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17400 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17500 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17600 1
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 17700 1
